matchId,gameCreation,gameDuration,queueId,gameVersion,summonerName,championName,teamId,win,kills,deaths,assists,role,lane
NA1_5482488659,1770115096450,1449,420,16.2.741.3171,,Zoe,200,True,15,0,5,SOLO,MIDDLE
NA1_5482484859,1770112634174,1715,420,16.2.741.3171,,Lulu,100,False,0,5,14,SUPPORT,BOTTOM
NA1_5482475077,1770110430869,1950,420,16.2.741.3171,,Zoe,100,False,12,10,7,SOLO,MIDDLE
NA1_5482473920,1770110168262,69,420,16.2.741.3171,,Lulu,100,True,0,0,0,SUPPORT,NONE
NA1_5482457004,1770107325535,2257,420,16.2.741.3171,,Lulu,200,False,0,6,12,SUPPORT,MIDDLE
NA1_5482443947,1770105293198,1725,420,16.2.741.3171,,Lulu,200,False,2,3,6,SOLO,BOTTOM
NA1_5482421921,1770102904316,1485,420,16.2.741.3171,,Lulu,200,True,0,2,26,SUPPORT,BOTTOM
NA1_5476670263,1769553940258,1516,420,16.2.740.1491,,Hwei,200,True,3,3,6,SOLO,MIDDLE
NA1_5476628908,1769550269586,1922,420,16.2.740.1491,,Zoe,100,False,5,8,9,SOLO,MIDDLE
NA1_5476605851,1769548027682,2031,420,16.2.740.1491,,Hwei,200,False,4,12,10,DUO,TOP
NA1_5471201740,1769057413884,1810,420,16.1.737.4870,,Zoe,100,True,3,9,8,SOLO,MIDDLE
NA1_5471165995,1769055512135,1570,420,16.1.737.4870,,Zoe,100,True,3,4,5,SOLO,MIDDLE
NA1_5471135122,1769053953123,1321,420,16.1.737.4870,,Zoe,100,False,5,8,2,SOLO,MIDDLE
NA1_5471091648,1769051834782,1791,420,16.1.737.4870,,Zoe,200,True,15,3,6,SOLO,MIDDLE
NA1_5470772091,1769032465475,1691,420,16.1.737.4870,,Zoe,200,False,7,9,6,CARRY,MIDDLE
NA1_5470754242,1769030996946,925,420,16.1.737.4870,,Zoe,200,False,1,7,1,SUPPORT,NONE
NA1_5469974937,1768953341889,2001,420,16.1.737.4870,,Zoe,100,True,13,6,6,SOLO,TOP
NA1_5469090872,1768863985280,1641,420,16.1.737.4870,,Zoe,100,False,8,6,2,DUO,TOP
NA1_5465516856,1768529690658,2327,420,16.1.737.4870,,Sona,100,False,2,13,36,SUPPORT,BOTTOM
NA1_5465479865,1768527636619,1754,420,16.1.737.4870,,Zoe,100,False,5,8,4,SOLO,MIDDLE
